City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,general roca,-39.0333,-67.5833,26.46,21,1,10.47,AR,1676396045
325,port hawkesbury,45.6169,-61.3485,-1.01,89,100,5.14,CA,1676396045
326,iqaluit,63.7506,-68.5145,-26.15,76,100,2.06,CA,1676396045
327,lata,40.1629,-8.3327,16.71,62,48,3.95,PT,1676396045
328,gizo,-8.103,156.8419,27.76,77,100,6.58,SB,1676396046
329,boyolangu,-8.1181,111.8935,24.07,91,100,1.51,ID,1676396046
330,lerwick,60.1545,-1.1494,8.0,86,84,7.03,GB,1676396046
331,hovd,48.0056,91.6419,-16.05,84,64,1.17,MN,1676396046
332,andros,37.8333,24.9333,10.96,51,5,3.58,GR,1676396046
333,guerrero negro,27.9769,-114.0611,16.94,55,100,4.61,MX,1676396046
334,tiksi,71.6872,128.8694,-30.34,98,94,2.96,RU,1676396046
335,manta,-0.95,-80.7333,24.88,83,100,1.03,EC,1676396046
336,mount isa,-20.7333,139.5,24.87,31,82,4.63,AU,1676396047
337,rio grande,-32.035,-52.0986,27.06,72,69,3.82,BR,1676396047
338,piacabucu,-10.4056,-36.4344,29.95,55,99,5.4,BR,1676396047
339,fort nelson,58.8053,-122.7002,-17.81,70,75,1.54,CA,1676396047
340,takoradi,4.8845,-1.7554,28.05,77,52,5.02,GH,1676396047
341,srandakan,-7.9386,110.2506,24.11,91,100,3.59,ID,1676396047
342,vanderhoof,54.0166,-124.0198,-7.61,74,9,1.93,CA,1676396048
343,sorong,-0.8833,131.25,26.74,83,92,3.6,ID,1676396048
344,tezu,27.9167,96.1667,16.15,48,10,2.0,IN,1676396048
345,verkhnyaya inta,65.9811,60.3094,-13.85,91,100,3.39,RU,1676396048
346,tarata,-17.6167,-66.0167,23.68,37,46,1.21,BO,1676396048
347,snasa,64.2457,12.3778,2.67,97,99,1.64,NO,1676396048
348,gwadar,25.1216,62.3254,22.66,74,45,5.44,PK,1676396027
349,port hardy,50.6996,-127.4199,-0.9,93,20,1.54,CA,1676396048
350,qianguo,45.1171,124.8568,-18.02,96,5,0.81,CN,1676396049
351,ust-uda,54.1742,103.0304,-20.37,100,88,0.96,RU,1676396049
352,saint-augustin,51.226,-58.6502,-9.12,70,100,4.68,CA,1676396049
353,stykkisholmur,65.0757,-22.7297,2.21,71,100,8.4,IS,1676396049
